Temperature(K)	Pressure(bar)	Density(l,mol/m3)	Volume(l,m3/mol)	InternalEnergy(l,kJ/mol)	Enthalpy(l,kJ/mol)	Entropy(l,J/mol*K)	Cv(l,J/mol*K)	Cp(l,J/mol*K)	SoundSpd.(l,m/s)	Joule-Thomson(l,K/bar)	Viscosity(l,cP)	Therm.Cond.(l,W/m*K)	Surf.Tension(l,N/m)	Density(v,mol/m3)	Volume(v,m3/mol)	InternalEnergy(v,kJ/mol)	Enthalpy(v,kJ/mol)	Entropy(v,J/mol*K)	Cv(v,J/mol*K)	Cp(v,J/mol*K)	SoundSpd.(v,m/s)	Joule-Thomson(v,K/bar)	Viscosity(v,cP)	Therm.Cond.(v,W/m*K)
392.00	0.83579	5406.9	0.00018495	-2.0591	-2.0437	-5.1603	244.20	298.83	801.01	-0.024881	0.21143	0.098255	0.012531	26.970	0.037078	29.823	32.922	84.038	229.84	240.77	164.16	3.1945	0.0074074	0.019396
399.00	1.0191	5348.9	0.00018695	0.043374	0.062426	0.15622	247.36	302.54	774.72	-0.023067	0.20029	0.096487	0.011928	32.558	0.030715	31.354	34.484	86.426	233.67	245.04	164.36	3.0266	0.0075326	0.020157
406.00	1.2325	5289.9	0.00018904	2.1715	2.1947	5.4440	250.52	306.30	748.53	-0.021124	0.18985	0.094741	0.011330	39.029	0.025622	32.901	36.059	88.853	237.51	249.38	164.40	2.8753	0.0076591	0.020940
413.00	1.4793	5229.8	0.00019121	4.3254	4.3537	10.705	253.68	310.12	722.44	-0.019031	0.18006	0.093018	0.010737	46.485	0.021512	34.463	37.646	91.315	241.36	253.79	164.27	2.7394	0.0077877	0.021744
420.00	1.7630	5168.4	0.00019348	6.5056	6.5397	15.940	256.85	314.01	696.42	-0.016766	0.17084	0.091315	0.010149	55.038	0.018169	36.040	39.244	93.807	245.22	258.29	163.96	2.6175	0.0079191	0.022571
427.00	2.0870	5105.7	0.00019586	8.7124	8.7533	21.152	260.01	317.99	670.44	-0.014300	0.16214	0.089632	0.0095654	64.811	0.015429	37.631	40.851	96.323	249.08	262.88	163.46	2.5088	0.0080539	0.023422
434.00	2.4551	5041.5	0.00019835	10.946	10.995	26.342	263.18	322.04	644.50	-0.011597	0.15390	0.087968	0.0089868	75.941	0.013168	39.235	42.468	98.861	252.95	267.58	162.76	2.4122	0.0081932	0.024299
441.00	2.8711	4975.6	0.00020098	13.207	13.265	31.512	266.34	326.21	618.55	-0.0086157	0.14607	0.086324	0.0084131	88.580	0.011289	40.851	44.092	101.41	256.81	272.41	161.84	2.3269	0.0083382	0.025203
448.00	3.3390	4908.0	0.00020375	15.496	15.564	36.664	269.50	330.49	592.57	-0.0053029	0.13863	0.084697	0.0078447	102.90	0.0097182	42.477	45.722	103.98	260.68	277.39	160.70	2.2524	0.0084902	0.026137
455.00	3.8630	4838.4	0.00020668	17.814	17.894	41.799	272.65	334.91	566.54	-0.0015928	0.13153	0.083088	0.0072816	119.10	0.0083966	44.112	47.356	106.55	264.56	282.54	159.31	2.1880	0.0086508	0.027102
462.00	4.4473	4766.6	0.00020979	20.161	20.254	46.921	275.81	339.51	540.41	0.0025980	0.12474	0.081497	0.0067244	137.39	0.0072783	45.755	48.992	109.12	268.44	287.92	157.66	2.1335	0.0088218	0.028102
469.00	5.0965	4692.4	0.00021311	22.538	22.646	52.030	278.96	344.31	514.15	0.0073767	0.11824	0.079922	0.0061733	158.06	0.0063269	47.405	50.629	111.70	272.32	293.57	155.72	2.0885	0.0090056	0.029142
476.00	5.8152	4615.3	0.00021667	24.945	25.071	57.130	282.12	349.36	487.73	0.012883	0.11199	0.078363	0.0056289	181.39	0.0055131	49.058	52.264	114.26	276.22	299.55	153.49	2.0531	0.0092049	0.030225
483.00	6.6082	4535.2	0.00022050	27.385	27.531	62.223	285.28	354.73	461.08	0.019301	0.10597	0.076821	0.0050920	207.75	0.0048134	50.712	53.893	116.80	280.14	305.98	150.93	2.0274	0.0094230	0.031358
490.00	7.4806	4451.4	0.00022465	29.859	30.027	67.314	288.46	360.50	434.16	0.026882	0.10015	0.075296	0.0045632	237.60	0.0042088	52.366	55.514	119.33	284.08	312.96	148.02	2.0118	0.0096641	0.032549
497.00	8.4378	4363.5	0.00022917	32.368	32.561	72.405	291.65	366.78	406.90	0.035973	0.094520	0.073789	0.0040438	271.47	0.0036837	54.014	57.122	121.82	288.05	320.68	144.72	2.0070	0.0099334	0.033809
504.00	9.4853	4270.8	0.00023415	34.914	35.136	77.502	294.87	373.74	379.23	0.047067	0.089050	0.072301	0.0035350	310.04	0.0032253	55.653	58.713	124.28	292.07	329.41	141.00	2.0142	0.010237	0.035153
511.00	10.629	4172.3	0.00023968	37.501	37.756	82.611	298.13	381.62	351.06	0.060894	0.083716	0.070835	0.0030385	354.21	0.0028232	57.278	60.279	126.69	296.15	339.51	136.80	2.0350	0.010585	0.036601
518.00	11.876	4066.9	0.00024589	40.133	40.425	87.740	301.45	390.80	322.28	0.078571	0.078493	0.069397	0.0025563	405.14	0.0024683	58.881	61.813	129.03	300.31	351.60	132.06	2.0720	0.010988	0.038181
525.00	13.233	3952.9	0.00025298	42.815	43.150	92.899	304.85	401.86	292.74	0.10191	0.073350	0.067995	0.0020911	464.42	0.0021532	60.453	63.302	131.28	304.56	366.67	126.72	2.1294	0.011463	0.039935
532.00	14.707	3828.0	0.00026123	45.555	45.939	98.105	308.38	415.89	262.24	0.13402	0.068248	0.066646	0.0016464	534.38	0.0018713	61.979	64.731	133.43	308.97	386.54	120.67	2.2130	0.012034	0.041931
539.00	16.307	3688.5	0.00027112	48.365	48.807	103.38	312.10	434.92	230.46	0.18075	0.063133	0.065386	0.0012270	618.54	0.0016167	63.440	66.076	135.42	313.64	414.78	113.80	2.3312	0.012740	0.044275
546.00	18.044	3528.3	0.00028342	51.265	51.776	108.77	316.17	463.57	197.00	0.25431	0.057918	0.064292	0.00083942	722.81	0.0013835	64.802	67.298	137.19	318.71	459.23	105.90	2.4972	0.013645	0.047165
553.00	19.930	3336.0	0.00029976	54.294	54.891	114.33	320.86	514.87	161.28	0.38495	0.052442	0.063571	0.00049377	858.60	0.0011647	66.001	68.322	138.62	324.29	541.72	96.720	2.7326	0.014881	0.051011
560.00	21.982	3082.6	0.00032440	57.551	58.264	120.28	326.72	645.81	122.25	0.67227	0.046301	0.064013	0.00020698	1054.4	0.00094842	66.883	68.968	139.39	330.72	755.60	85.767	3.0670	0.016781	0.057005
