Name,tc,pc,w,L,M,N,c
2-PHENYL-1-PROPANOL,685.00,34.90,0.7643,1.4500,0.9088,1.8111,-23.8710
2-PHENYL-2-PROPANOL,660.00,34.90,0.6924,0.6206,0.8795,2.1349,N.A.
3-(METHYLMERCAPTO)PROPANAL,650.00,40.20,0.4168,0.2488,0.8132,2.5036,16.8048
"3,3,3-TRIFLUOROPROPENE",378.59,36.09,0.2653,0.5205,0.9457,1.4805,N.A.
"3,3,5-TRIMETHYLHEPTANE",609.50,23.20,0.3847,0.5247,0.7901,1.4242,-2.6541
"3,3-DIETHYLPENTANE",610.05,26.75,0.3381,0.2258,0.8472,2.5941,-3.4007
"3,3-DIMETHYL-1-BUTENE",480.00,32.90,0.2285,0.1602,0.8519,2.5195,-12.2771
"3,3-DIMETHYL-2-BUTANONE",564.00,33.20,0.3273,0.1896,0.8395,2.7262,2.9216
"3,3-DIMETHYLHEXANE",562.00,26.50,0.3202,0.2862,0.8283,2.0655,3.3181
"3,3-DIMETHYLPENTANE",536.40,29.50,0.2679,0.2479,0.8391,2.0993,-8.3118
"3,4-DICHLOROANILINE",800.00,41.10,0.4678,0.2142,0.8246,3.0132,15.3439
"3,4-DIMETHYLHEXANE",568.80,26.90,0.3381,0.1914,0.8389,2.7366,-0.1552
"3,4-XYLENOL",729.95,50.00,0.5763,0.4656,0.8632,2.3504,-23.9855
"3,5-DIMETHYLBENZOTHIOPHENE",784.80,34.64,0.4247,0.3917,0.8711,2.2421,N.A.
"3,5-XYLENOL",715.65,36.00,0.4852,1.6771,1.0000,0.5984,22.8760
3-AMINO-1-PROPANOL,649.00,55.00,0.8273,0.3257,0.8069,3.4215,N.A.
3-CHLOROPROPENE,514.15,47.10,0.1478,0.0671,0.8428,2.6653,6.3544
3-CHLOROPROPYLTRIMETHOXYSILANE,647.30,21.34,0.5349,2.2728,0.9819,0.3987,34.8823
3-ETHYL-1-PENTENE,530.00,30.30,0.3019,0.1402,0.8329,2.8473,-8.7784
3-ETHYLHEPTANE,590.00,23.90,0.4080,0.2134,0.8328,2.8491,3.6208
3-ETHYLHEXANE,565.50,26.10,0.3605,0.1936,0.8358,2.7938,4.0307
3-ETHYL-o-XYLENE,680.00,28.80,0.3621,0.6299,0.7746,1.1975,16.6395
3-ETHYLPENTANE,540.60,28.90,0.3091,0.3821,0.8208,1.6567,-2.1239
3-HEPTANOL,605.40,30.73,0.5511,0.1520,0.8021,3.5494,-4.6012
3-HEXANONE,582.82,33.20,0.3801,0.3872,0.8162,1.8318,6.5671
3-HEXYNE,544.00,35.30,0.2183,0.0000,0.7877,2.8162,6.9284
3-METHOXYPROPIONITRILE,638.00,36.30,0.4597,0.4947,0.8435,1.8274,40.9226
"3-METHYL-1,2-BUTADIENE",490.00,38.30,0.1874,1.4593,1.0000,0.4272,3.5278
"3-METHYL-1,4-PENTADIENE",497.00,34.90,0.2468,0.1940,0.8538,2.4898,-6.1006
3-METHYL-1-BUTANOL,577.20,39.30,0.5900,1.2728,0.3529,0.9330,N.A.
3-METHYL-1-BUTENE,452.70,35.30,0.2097,0.4851,0.8823,1.2691,-5.2900
3-METHYL-1-BUTYNE,463.20,42.00,0.3081,0.4601,0.9165,1.7359,-16.6496
3-METHYL-1-HEXENE,528.00,29.50,0.3057,0.1553,0.8358,2.7932,-4.8613
3-METHYL-1-PENTANOL,588.00,34.00,0.7230,0.4041,0.8306,2.8912,-0.6524
3-METHYL-1-PENTENE,495.00,32.90,0.2640,0.2666,0.8721,2.2296,-7.8042
3-METHYL-2-BUTANOL,556.10,38.70,0.5016,0.4796,0.0000,0.9172,N.A.
3-METHYL-2-PENTANONE,573.00,33.20,0.3886,1.0397,1.0000,0.8958,3.4201
3-METHYL-3-ETHYLPENTANE,576.50,28.10,0.3050,0.2018,0.8472,2.5949,-4.5284
3-METHYL-cis-2-PENTENE,515.00,32.90,0.2585,1.1626,0.9762,0.6252,1.3804
3-METHYLCYCLOPENTENE,526.00,41.30,0.2296,1.1387,1.0000,0.7132,-10.4167
3-METHYLHEPTANE,563.60,25.50,0.3723,0.4051,0.8222,1.7799,4.8569
3-METHYLHEXANAL,595.00,28.50,0.4570,0.6578,0.8380,1.4179,12.6514
3-METHYLHEXANE,535.20,28.10,0.3204,0.3268,0.8204,1.8698,2.8075
3-METHYLNONANE,613.00,21.60,0.4649,0.4334,0.8169,1.9326,9.3249
3-METHYLOCTANE,590.15,23.40,0.4123,0.3844,0.8235,1.9767,4.7730
3-METHYLPENTANE,504.60,31.20,0.2702,0.2525,0.8322,2.0468,-1.7479
3-METHYLPYRIDINE,645.00,46.60,0.2978,0.2704,0.8352,2.0893,2.9220
3-METHYLTHIOPHENE,613.00,49.10,0.2397,0.2025,0.8299,2.1369,-5.2345
3-METHYL-trans-2-PENTENE,517.00,31.90,0.2627,1.6122,1.0000,0.4385,7.9998
3-NITROBENZOTRIFLUORIDE,667.00,28.00,0.5364,0.4566,0.8673,2.2933,34.0492
3-PENTANOL,559.60,37.14,0.5143,0.6597,0.0001,0.9313,4.8032
3-PENTANONE,560.95,37.40,0.3448,0.3538,0.8145,1.8259,5.6958
3-PHENYL-1-PROPANOL,694.00,34.30,0.8033,1.5738,0.9006,1.8947,-23.1391
4-CHLORO-3-NITROBENZOTRIFLUORIDE,686.00,27.40,0.6038,0.5440,0.8763,2.1748,N.A.
4-ETHYL-m-XYLENE,665.00,28.80,0.4140,0.3697,0.8294,2.0569,8.1969
4-ETHYL-o-XYLENE,667.00,28.80,0.4114,0.2712,0.8308,2.4991,9.3572
4-METHYL-1-HEXENE,534.00,30.40,0.3024,0.1510,0.8331,2.7745,-7.1982
4-METHYL-1-PENTENE,496.00,32.20,0.2389,0.1522,0.8467,2.5904,-4.5989
4-METHYL-2-PENTANOL,574.40,34.70,0.5730,1.7220,1.0000,0.6404,-8.8462
4-METHYL-cis-2-PENTENE,499.00,32.20,0.2442,0.1254,0.8394,2.7280,-3.0329
4-METHYLCYCLOPENTENE,527.00,41.30,0.2357,1.1462,1.0000,0.7058,-11.8131
4-METHYLHEPTANE,561.70,25.40,0.3707,0.3904,0.8199,1.8139,4.4025
4-METHYLNONANE,610.00,21.60,0.4651,0.6494,0.7982,1.4015,4.6482
4-METHYLOCTANE,587.65,23.40,0.4129,0.4175,0.8145,1.8294,4.8759
4-METHYLPYRIDINE,646.15,46.60,0.3010,0.2581,0.8359,2.1637,2.0474
4-METHYL-trans-2-PENTENE,501.00,32.20,0.2552,0.1337,0.8394,2.7272,-3.1766
5-ETHYLIDENE-2-NORBORNENE,629.00,34.00,0.3141,0.1705,0.8381,2.7516,-1.2036
5-ETHYL-m-XYLENE,655.00,27.50,0.4169,0.2510,0.8388,2.7031,13.4860
5-METHYL-1-HEXENE,528.00,28.70,0.3105,0.9919,0.9967,0.8311,-0.7048
5-METHYL-2-HEXANONE,601.00,29.70,0.4344,0.2720,0.8419,2.6848,4.4369
5-METHYLNONANE,610.00,21.60,0.4562,0.3157,0.8297,2.4444,6.5766
5-NONANONE,640.00,23.20,0.5137,0.2704,0.8298,2.9072,23.6278
6-AMINOHEXANAMIDE,807.80,34.56,0.6975,0.8763,0.8540,1.4862,9.1921
6-METHYL-1-HEPTENE,558.00,26.00,0.3555,0.3457,0.8432,2.0392,3.2766
7-METHYL-1-OCTENE,579.00,23.80,0.4045,0.4167,0.8264,1.7855,N.A.
8-HYDROXYQUINOLINE,788.00,43.60,0.5223,0.2186,0.8187,3.1386,-4.0851
8-METHYL-1-NONENE,619.00,21.90,0.4523,0.5808,0.8555,2.2277,N.A.
8-METHYLQUINOLINE,787.00,43.00,0.3582,0.2889,0.8583,2.4219,-11.9401
ACENAPHTHENE,803.15,31.00,0.3811,1.2964,1.0000,0.6880,44.9681
ACETAL,539.70,32.20,0.4869,0.5679,0.9042,1.8577,-24.0324
ACETALDOXIME,568.00,60.40,0.6384,0.3772,0.8360,2.7888,4.6783
ACETIC ACID,591.95,57.86,0.4665,0.3242,0.8498,2.5529,21.6801
ACETIC ANHYDRIDE,606.00,40.00,0.4553,0.5125,0.7925,1.6227,14.3846
ACETONE,508.20,47.01,0.3065,0.6041,0.8402,1.1984,12.6537
ACETONITRILE,545.50,48.50,0.3419,0.5199,0.9245,1.6623,38.9170
ACETOPHENONE,709.60,40.10,0.3830,0.2274,0.8398,2.7210,5.4746
3-PENTANOL,559.60,37.14,0.5143,0.6597,0.0001,0.9313,4.8032
3-PENTANONE,560.95,37.40,0.3448,0.3538,0.8145,1.8259,5.6958
3-PHENYL-1-PROPANOL,694.00,34.30,0.8033,1.5738,0.9006,1.8947,-23.1391
4-CHLORO-3-NITROBENZOTRIFLUORIDE,686.00,27.40,0.6038,0.5440,0.8763,2.1748,N.A.
4-ETHYL-m-XYLENE,665.00,28.80,0.4140,0.3697,0.8294,2.0569,8.1969
4-ETHYL-o-XYLENE,667.00,28.80,0.4114,0.2712,0.8308,2.4991,9.3572
4-METHYL-1-HEXENE,534.00,30.40,0.3024,0.1510,0.8331,2.7745,-7.1982
4-METHYL-1-PENTENE,496.00,32.20,0.2389,0.1522,0.8467,2.5904,-4.5989
4-METHYL-2-PENTANOL,574.40,34.70,0.5730,1.7220,1.0000,0.6404,-8.8462
4-METHYL-cis-2-PENTENE,499.00,32.20,0.2442,0.1254,0.8394,2.7280,-3.0329
4-METHYLCYCLOPENTENE,527.00,41.30,0.2357,1.1462,1.0000,0.7058,-11.8131
4-METHYLHEPTANE,561.70,25.40,0.3707,0.3904,0.8199,1.8139,4.4025
4-METHYLNONANE,610.00,21.60,0.4651,0.6494,0.7982,1.4015,4.6482
4-METHYLOCTANE,587.65,23.40,0.4129,0.4175,0.8145,1.8294,4.8759
4-METHYLPYRIDINE,646.15,46.60,0.3010,0.2581,0.8359,2.1637,2.0474
4-METHYL-trans-2-PENTENE,501.00,32.20,0.2552,0.1337,0.8394,2.7272,-3.1766
5-ETHYLIDENE-2-NORBORNENE,629.00,34.00,0.3141,0.1705,0.8381,2.7516,-1.2036
5-ETHYL-m-XYLENE,655.00,27.50,0.4169,0.2510,0.8388,2.7031,13.4860
5-METHYL-1-HEXENE,528.00,28.70,0.3105,0.9919,0.9967,0.8311,-0.7048
5-METHYL-2-HEXANONE,601.00,29.70,0.4344,0.2720,0.8419,2.6848,4.4369
5-METHYLNONANE,610.00,21.60,0.4562,0.3157,0.8297,2.4444,6.5766
5-NONANONE,640.00,23.20,0.5137,0.2704,0.8298,2.9072,23.6278
6-AMINOHEXANAMIDE,807.80,34.56,0.6975,0.8763,0.8540,1.4862,9.1921
6-METHYL-1-HEPTENE,558.00,26.00,0.3555,0.3457,0.8432,2.0392,3.2766
7-METHYL-1-OCTENE,579.00,23.80,0.4045,0.4167,0.8264,1.7855,N.A.
8-HYDROXYQUINOLINE,788.00,43.60,0.5223,0.2186,0.8187,3.1386,-4.0851
8-METHYL-1-NONENE,619.00,21.90,0.4523,0.5808,0.8555,2.2277,N.A.
8-METHYLQUINOLINE,787.00,43.00,0.3582,0.2889,0.8583,2.4219,-11.9401
ACENAPHTHENE,803.15,31.00,0.3811,1.2964,1.0000,0.6880,44.9681
ACETAL,539.70,32.20,0.4869,0.5679,0.9042,1.8577,-24.0324
ACETALDOXIME,568.00,60.40,0.6384,0.3772,0.8360,2.7888,4.6783
ACETIC ACID,591.95,57.86,0.4665,0.3242,0.8498,2.5529,21.6801
ACETIC ANHYDRIDE,606.00,40.00,0.4553,0.5125,0.7925,1.6227,14.3846
ACETONE,508.20,47.01,0.3065,0.6041,0.8402,1.1984,12.6537
ACETONITRILE,545.50,48.50,0.3419,0.5199,0.9245,1.6623,38.9170
ACETOPHENONE,709.60,40.10,0.3830,0.2274,0.8398,2.7210,5.4746
ACETYL CHLORIDE,508.00,57.40,0.3340,0.5147,0.9267,1.6424,-1.5265
ACETYLENE,308.30,61.38,0.1912,0.1910,0.8681,2.2832,-0.8745
ACRIDINE,905.00,36.40,0.4400,0.2687,0.8407,2.7047,8.3210
ACROLEIN,506.00,50.00,0.3198,0.5045,0.9269,1.6407,15.5398
ACRYLAMIDE,776.00,57.30,0.4863,1.2322,0.9041,1.1091,N.A.
ACRYLIC ACID,615.00,56.60,0.5383,0.6908,0.8388,1.5087,8.3360
AIR,132.45,37.74,0.0000,0.0971,0.8967,1.9369,-3.6651
ALLYL ACETATE,559.00,36.80,0.3879,0.7142,0.9498,1.3330,4.5370
ALLYL ALCOHOL,545.10,56.20,0.5697,0.2426,0.8177,3.1614,3.8854
ALLYLAMINE,505.00,51.70,0.3265,0.1671,0.8349,2.8092,3.5701
alpha-HYDROXYISOBUTYRIC ACID,664.00,49.20,0.9833,0.4034,0.8066,3.4287,N.A.
alpha-METHYLSTYRENE,654.00,33.60,0.3230,0.2195,0.8089,2.2509,7.7727
alpha-PINENE,644.00,27.60,0.2209,0.8600,0.3876,0.6519,18.7312
AMMONIA,405.65,112.80,0.2526,0.2274,0.8645,2.3320,4.0303
ANETHOLE,723.00,29.00,0.4846,0.2153,0.8226,3.0539,22.6872
ANILINE,699.00,53.10,0.3775,0.3532,0.8014,1.8754,1.5026
ANISOLE,645.60,42.50,0.3502,0.2155,0.8417,2.6636,-0.7322
ANTHRACENE,873.00,29.00,0.4857,0.3896,0.8611,2.3803,48.0745
ANTHRAQUINONE,900.00,31.50,0.6807,0.6492,0.8902,2.0088,27.8446
ANTIMONY TRICHLORIDE,794.00,48.20,0.1706,1.1697,0.9943,0.5123,44.9022
ARGON,150.86,48.98,0.0000,0.1228,0.9045,1.8539,-3.2939
ARSINE,373.00,65.50,0.0105,0.2754,0.8629,1.0266,-1.2306
BENZALDEHYDE,695.00,46.50,0.3127,0.4846,0.8284,1.4260,4.2128
BENZANTHRACENE,979.00,23.90,0.5692,1.7158,1.0000,0.4691,N.A.
BENZENE,562.05,48.95,0.2103,0.1261,0.8460,2.6137,-1.3914
BENZOIC ACID,751.00,44.70,0.6028,2.2065,0.3775,0.7131,9.6221
BENZOPHENONE,830.00,33.52,0.5019,0.3585,0.8508,2.5369,-5.3214
BENZOTHIOPHENE,764.00,47.60,0.3071,0.2751,0.8649,2.3262,-13.5055
BENZOTRICHLORIDE,737.00,33.40,0.2599,0.1479,0.8419,2.6847,15.3950
BENZOTRIFLUORIDE,559.90,32.10,0.2998,0.6536,0.8170,1.0940,11.2695
BENZOYL CHLORIDE,697.00,40.60,0.4159,0.9630,0.9993,1.0217,1.0136
BENZYL ALCOHOL,720.15,43.74,0.3631,0.0000,0.7303,2.8558,16.7213
BENZYL CHLORIDE,686.00,39.10,0.3136,1.8325,1.0000,0.4178,11.2044
BENZYL DICHLORIDE,731.00,36.50,0.3264,0.3690,0.8674,1.9493,8.7653
BENZYL ETHYL ETHER,662.00,31.10,0.4332,0.9635,0.9753,1.0392,10.3029
BENZYL MERCAPTAN,718.00,40.60,0.3126,0.1754,0.8391,2.7340,3.2853
BENZYLAMINE,684.00,43.20,0.4011,0.2179,0.8349,2.8102,0.4025
beta-PHELLANDRENE,648.00,28.20,0.3766,1.4441,1.0000,0.5986,-2.5289
beta-PINENE,643.00,27.60,0.3249,0.2516,0.8551,2.4695,11.6706
beta-PROPIOLACTONE,686.00,69.10,0.3577,0.3867,0.8417,1.6167,N.A.
BICYCLO[2.2.1]HEPTANE,594.00,36.96,0.1636,0.0925,0.8467,2.6027,N.A.
BICYCLO[2.2.2]OCTANE,625.00,34.20,0.2054,0.0000,0.7450,1.5711,29.1516
BICYCLOHEXYL,727.00,25.60,0.4276,0.3978,0.8727,2.2209,8.1414
BIPHENYL,773.00,33.80,0.4029,0.2267,0.8354,2.7800,7.3129
BIS(CHLOROMETHYL)ETHER,579.00,45.80,0.3239,0.1624,0.8343,2.8210,7.1950
BORON TRICHLORIDE,451.95,38.71,0.1505,0.0619,0.8409,2.7017,14.2284
BORON TRIFLUORIDE,260.90,49.90,0.4337,0.2350,0.8345,2.8171,0.1971
BROMINE,584.15,103.00,0.1290,0.1361,0.8690,2.2710,-9.9128
BROMOBENZENE,670.15,45.19,0.2506,0.1904,0.8542,2.4828,2.4054
BROMOCHLORODIFLUOROMETHANE,426.15,42.54,0.1871,0.1160,0.8489,2.5677,-3.5314
BROMOCHLOROMETHANE,557.00,64.70,0.2064,0.1558,0.8416,2.3441,-1.8586
BROMODIFLUOROMETHANE,411.98,51.32,0.2050,0.1963,0.8003,1.8256,-0.1888
BROMOETHANE,503.80,55.65,0.2053,0.2408,0.8780,2.1540,-3.7020
BROMOMETHANE,464.00,69.29,0.1534,0.3704,0.8367,1.2420,-0.6721
BROMOTRICHLOROMETHANE,606.00,49.70,0.1920,0.1442,0.8546,2.4766,N.A.
BROMOTRIFLUOROETHYLENE,432.00,44.80,0.1754,0.1249,0.8487,2.4523,N.A.
BROMOTRIFLUOROMETHANE,340.15,39.70,0.1704,0.1416,0.8587,2.4157,-3.6304
BUTANAL,537.20,44.10,0.2826,0.1976,0.8500,2.5493,4.0436
BUTYL VINYL ETHER,536.00,31.20,0.3802,0.1939,0.8326,2.8526,0.2566
BUTYRONITRILE,585.40,38.80,0.3601,0.3738,0.8795,2.1357,26.8101
CALCIUM,3267.00,153.00,0.1167,0.4062,0.9669,1.3129,N.A.
CAMPHOR,709.00,29.90,0.3190,0.1943,0.8426,2.6719,10.8830
CARBON DIOXIDE,304.21,73.83,0.2236,0.1783,0.8590,2.4107,-1.1368
CARBON DISULFIDE,552.00,79.00,0.1107,0.2513,0.8772,1.5980,-7.0840
CARBON MONOXIDE,132.92,34.99,0.0482,0.0983,0.8777,2.1568,-3.6761
CARBON TETRACHLORIDE,556.35,45.60,0.1926,0.1866,0.8321,2.0128,-2.8003
CARBON TETRAFLUORIDE,227.51,37.45,0.1790,0.1653,0.8584,2.2953,-4.5258
CARBONYL FLUORIDE,297.00,57.60,0.2829,0.8691,0.6627,0.7896,N.A.
CARBONYL SULFIDE,378.80,63.49,0.0970,0.1496,0.8679,2.0084,-1.4089
CHLORINE,417.15,77.10,0.0688,0.7082,0.8812,0.6306,-1.4823
CHLORINE TRIFLUORIDE,433.70,45.78,0.3371,0.8003,0.8316,0.8752,31.9105
CHLOROACETALDEHYDE,555.00,53.70,0.3297,0.1523,0.8310,2.8846,N.A.
CHLOROACETIC ACID,686.00,57.80,0.5461,0.2276,0.8175,3.1670,17.5963
CHLOROACETYL CHLORIDE,581.00,51.10,0.3540,0.1952,0.8086,2.4941,4.2539
CHLORODIFLUOROMETHANE,369.30,49.71,0.2192,0.4513,0.8267,1.2443,-0.1188
CHLOROFLUOROMETHANE,427.00,56.20,0.2108,0.2988,0.8945,1.9604,8.4935
CHLOROFORM,536.40,54.72,0.2219,0.8613,0.8749,0.7514,-4.6793
CHLOROPENTAFLUOROETHANE,353.15,31.57,0.2514,0.7212,0.8703,0.9540,-6.2194
CHLOROPRENE,525.00,42.60,0.1974,0.1799,0.8538,2.2482,5.2742
CHLOROTRIFLUOROETHYLENE,379.15,40.53,0.2442,0.1855,0.8544,2.4796,-3.0777
CHLOROTRIFLUOROMETHANE,302.00,38.70,0.1717,0.1400,0.8581,2.4249,-3.8859
CHRYSENE,979.00,23.90,0.6030,0.2447,0.8144,3.2380,N.A.
"cis-1,2-DICHLOROETHYLENE",544.00,51.90,0.1349,0.5513,0.4822,0.6603,7.2727
"cis-1,2-DIMETHYLCYCLOHEXANE",606.15,29.38,0.2324,1.3197,1.0000,0.5197,15.0888
"cis-1,2-DIMETHYLCYCLOPENTANE",565.15,34.45,0.2662,0.2627,0.8354,1.9977,-3.9616
"cis-1,3-DIMETHYLCYCLOHEXANE",591.15,29.38,0.2366,1.2776,1.0000,0.5421,3.9978
"cis-1,3-DIMETHYLCYCLOPENTANE",551.00,34.45,0.2743,0.7330,0.9034,1.0082,-13.9457
"cis-1,3-PENTADIENE",499.00,37.40,0.1470,1.5144,1.0000,0.3805,10.6484
"cis-1,4-DIMETHYLCYCLOHEXANE",598.15,29.38,0.2311,1.3639,1.0000,0.5002,9.2424
cis-1-PROPENYLBENZENE,671.00,33.60,0.3411,0.1813,0.8363,2.7823,8.8043
cis-2-BUTENE,435.50,42.10,0.2019,0.9657,0.9336,0.6663,-1.3701
cis-2-DECENE,621.00,21.80,0.4752,0.7558,0.8497,2.2249,-3.2547
cis-2-HEPTENE,543.70,28.40,0.3363,0.2410,0.8508,2.5366,6.5415
cis-2-HEXENE,511.40,31.60,0.2874,0.1773,0.8439,2.6493,4.1783
cis-2-METHYLCYCLOHEXANOL,614.00,37.90,0.6805,0.6170,0.8802,2.1262,-11.6242
cis-2-OCTENE,572.00,25.90,0.3889,0.2139,0.8362,2.7862,8.5031
cis-2-PENTENE,475.00,36.40,0.2454,0.4501,0.8147,1.2942,-2.7246
cis-3-HEPTENE,545.00,28.40,0.2949,0.1575,0.8345,2.7108,6.7793
cis-3-HEXENE,509.00,31.70,0.2787,0.1590,0.8411,2.6893,1.8181
cis-3-OCTENE,569.00,25.90,0.3800,0.2074,0.8360,2.7888,8.0494
cis-4-OCTENE,568.00,25.90,0.3854,0.2098,0.8358,2.7939,7.7925
cis-CROTONITRILE,568.00,38.80,0.3787,0.4426,0.8947,1.9577,31.2030
cis-DECAHYDRONAPHTHALENE,703.60,32.00,0.2791,1.4759,1.0000,0.4914,2.4904
CROTYL GLYCOL ETHER,643.90,33.87,0.5532,0.1808,0.8010,3.3078,N.A.
CUMENE,631.00,32.09,0.3274,1.2308,1.0000,0.6626,2.2201
CUMENE HYDROPEROXIDE,605.00,33.40,0.9950,0.8979,0.8550,2.4709,N.A.
CYANOGEN,400.15,59.24,0.2756,1.0658,1.0000,0.7104,1.0438
CYANOGEN CHLORIDE,449.00,59.90,0.3221,0.8591,1.0000,1.0000,11.0314
CYCLOBUTANE,459.93,49.80,0.1847,0.1791,0.8665,2.3049,-2.3931
CYCLOHEPTANE,604.20,38.20,0.2408,0.2235,0.8524,2.2150,-5.3766
CYCLOHEPTENE,598.00,40.10,0.2517,1.3499,1.0000,0.5190,-9.2542
CYCLOHEXANE,553.80,40.80,0.2081,0.3691,0.8120,1.3617,-4.2327
CYCLOHEXANECARBOXALDEHYDE,639.40,35.79,0.3827,1.7393,0.6009,0.3817,N.A.
CYCLOHEXANOL,650.10,42.60,0.3690,0.6028,0.3588,0.9287,4.6610
CYCLOHEXANONE,653.00,40.00,0.2990,0.1909,0.8455,2.6226,16.9431
CYCLOHEXENE,560.40,43.50,0.2123,0.7258,0.8552,0.8576,-3.1995
CYCLOHEXYL MERCAPTAN,664.00,39.70,0.2641,0.1696,0.8471,2.5962,-3.4213
CYCLOHEXYLAMINE,615.00,42.00,0.3604,0.3475,0.8742,2.2013,-11.3648
CYCLOHEXYLBENZENE,744.00,28.80,0.3783,0.1288,0.7571,2.4983,0.7752
CYCLOOCTANE,647.20,35.60,0.2524,0.1303,0.8378,2.7167,-4.1176
CYCLOOCTENE,632.00,36.80,0.2804,0.9701,0.8984,0.7757,N.A.
CYCLOPENTADIENE,507.00,51.50,0.2020,0.4659,0.9490,1.4537,-4.1706
CYCLOPENTANE,511.70,45.10,0.1949,0.3949,0.8261,1.2945,-1.9871
CYCLOPENTANONE,624.50,46.00,0.2876,0.1758,0.8436,2.6543,13.0072
CYCLOPENTENE,507.00,48.00,0.1961,0.5759,0.8574,1.0149,-4.8050
CYCLOPENTYLAMINE,584.00,46.40,0.3294,0.8789,0.8632,0.9123,-5.1215
CYCLOPROPANE,398.00,55.40,0.1278,0.2163,0.8563,1.7375,-3.0574
CYCLOPROPANE CARBOXYLIC ACID,671.00,59.95,0.6048,1.1518,0.9963,1.0638,N.A.
DECAFLUOROBUTANE,386.35,23.23,0.3664,0.2202,0.8150,2.4682,-8.0712
DECAMETHYLCYCLOPENTASILOXANE,617.40,10.35,0.6223,0.8524,0.6698,1.2607,29.1787
DECANAL,674.00,26.00,0.5201,0.9820,0.8073,1.0697,-16.5858
DEUTERIUM,38.35,16.62,-0.1449,0.1486,0.9968,1.0587,-4.5555
DEUTERIUM OXIDE,643.89,216.71,0.3658,0.3816,0.8551,1.9750,N.A.
DI(2-CHLOROETHYL)ETHER,666.00,35.90,0.3940,0.2140,0.8147,2.6063,15.4122
DI(2-ETHYLHEXYL)ADIPATE,845.00,11.20,0.8993,1.1724,0.3943,0.6375,101.4622
DIBENZOFURAN,824.00,36.40,0.3988,0.2601,0.8455,2.6231,0.8638
DIBENZOPYRROLE,899.00,32.60,0.4938,0.4156,0.8646,2.3312,N.A.
DIBENZOTHIOPHENE,897.00,38.60,0.3983,0.2659,0.8463,2.6034,N.A.
DIBORANE,289.80,40.53,0.1311,0.8894,0.9303,0.6074,-5.5341
DIBROMOMETHANE,611.00,71.70,0.2095,0.1898,0.8632,2.3499,-8.8642
DIBUTYL SEBACATE,768.00,13.20,1.1245,0.6524,0.8076,2.6648,27.6074
DICHLOROACETYL CHLORIDE,585.00,46.10,0.3089,0.1864,0.8229,2.4750,-3.1076
DICHLORODIETHYLSILANE,595.75,30.60,0.3189,0.0754,0.8102,3.1271,N.A.
DICHLORODIFLUOROMETHANE,384.95,41.25,0.1797,0.1552,0.8601,2.3904,-4.2330
DICHLOROFLUOROMETHANE,451.58,51.84,0.2048,0.1441,0.8515,2.5250,-1.7850
DICHLOROMETHANE,510.00,60.80,0.1986,1.3392,1.0000,0.4661,2.8193
DICHLOROSILANE,451.50,45.99,0.1630,0.1549,0.8086,1.8724,-4.2590
DICYCLOHEXYL SULFIDE,802.00,26.50,0.3955,0.3608,0.8661,2.3105,N.A.
DICYCLOPENTADIENE,660.00,30.60,0.2880,1.2989,1.0000,0.5834,8.8431
DIETHANOLAMINE,736.60,42.70,0.9529,0.6157,0.8458,2.6175,24.7913
DIETHYL DISULFIDE,642.00,38.70,0.3469,0.2821,0.8598,2.3997,-6.3530
DIETHYL ETHER,466.70,36.40,0.2811,0.1481,0.8385,2.7442,0.5956
DIETHYL MALEATE,680.00,26.10,0.6658,0.7566,0.9137,1.7627,-9.5004
DIETHYL PHTHALATE,776.00,22.60,0.6249,0.3018,0.8226,3.0553,29.2498
DIETHYL SULFIDE,557.15,39.60,0.2900,0.7310,0.8396,0.9819,-1.1624
DIETHYLAMINE,496.60,37.10,0.3039,0.7490,0.8319,0.9910,2.6271
DIETHYLENE GLYCOL DIETHYL ETHER,624.00,23.70,0.6807,0.2876,0.8166,3.1860,0.7938
DIETHYLENE GLYCOL ETHYL ETHER ACETATE,660.00,24.20,0.7145,0.6237,0.8766,2.1711,N.A.
DIETHYLENE GLYCOL MONOPROPYL ETHER,679.80,30.02,0.6114,0.2422,0.8136,3.2570,-3.9412
DIETHYLSULFITE,624.00,37.70,0.5065,0.7781,0.9490,1.4502,-15.8962
DIFLUOROMETHANE,351.26,57.84,0.2771,0.2483,0.8644,2.3332,7.1953
DIFLUOROMETHYL TRIFLUOROMETHYL ETHER,354.49,33.76,0.3253,0.1635,0.8344,2.8184,-2.0490
DIHEXYL ADIPATE,767.00,13.20,1.0935,0.5295,0.8183,3.1487,18.0070
DIIODOMETHANE,747.00,54.70,0.1405,0.0374,0.8366,2.7779,24.4518
DIISOBUTYL KETONE,615.00,24.80,0.5116,0.4671,0.8736,2.2095,-1.6725
DIISOBUTYLAMINE,580.00,25.70,0.4854,1.1604,1.0000,0.9027,-12.3488
DIISOPENTYLSULFIDE,664.40,21.81,0.5971,0.3068,0.8226,2.9191,-3.0479
DIISOPROPYL ETHER,500.05,28.80,0.3387,0.8175,0.8468,0.9784,-6.1595
DIKETENE,616.00,59.60,0.3821,0.9668,0.8967,0.9169,N.A.
DIMETHYL CARBONATE,548.00,45.00,0.3846,0.3041,0.8577,2.4300,8.1349
DIMETHYL DISULFIDE,615.00,53.60,0.2059,0.9438,0.8665,0.6723,-4.7114
DIMETHYL ETHER,400.10,53.70,0.2002,0.1755,0.8612,2.3794,-2.3881
