Temperature(K),Pressure(bar),Density(l;mol/m3),Volume(l;m3/mol),InternalEnergy(l;kJ/mol),Enthalpy(l;kJ/mol),Entropy(l;J/mol*K),Cv(l;J/mol*K),Cp(l;J/mol*K),SoundSpd.(l;m/s),Joule-Thomson(l;K/bar),Viscosity(l;Pa*s),Therm.Cond.(l;W/m*K),Surf.Tension(l;N/m),Density(v;mol/m3),Volume(v;m3/mol),InternalEnergy(v;kJ/mol),Enthalpy(v;kJ/mol),Entropy(v;J/mol*K),Cv(v;J/mol*K),Cp(v;J/mol*K),SoundSpd.(v;m/s),Joule-Thomson(v;K/bar),Viscosity(v;Pa*s),Therm.Cond.(v;W/m*K)
532.49,46.422,43555.,2.2959e-05,20.281,20.387,51.864,56.420,89.669,1108.2,0.0032697,0.00010210,0.60654,0.023844,1301.5,0.00076835,46.821,50.388,108.20,45.928,77.222,499.39,1.4897,1.7784e-05,0.053231
535.96,49.102,43251.,2.3121e-05,20.586,20.699,52.436,56.264,90.469,1092.9,0.0043559,0.00010060,0.60251,0.023027,1380.5,0.00072436,46.795,50.352,107.76,46.508,79.262,498.39,1.4491,1.7919e-05,0.054383
539.43,51.898,42941.,2.3288e-05,20.892,21.013,53.008,56.114,91.319,1077.2,0.0055051,9.9133e-05,0.59838,0.022211,1463.9,0.00068312,46.764,50.309,107.32,47.099,81.422,497.29,1.4098,1.8057e-05,0.055582
542.90,54.815,42624.,2.3461e-05,21.201,21.330,53.581,55.968,92.225,1061.3,0.0067225,9.7688e-05,0.59414,0.021396,1551.8,0.00064442,46.728,50.261,106.87,47.700,83.713,496.09,1.3717,1.8197e-05,0.056833
546.37,57.855,42300.,2.3641e-05,21.513,21.650,54.155,55.829,93.192,1045.1,0.0080144,9.6267e-05,0.58981,0.020581,1644.5,0.00060807,46.688,50.206,106.42,48.313,86.150,494.79,1.3348,1.8341e-05,0.058140
549.84,61.023,41969.,2.3827e-05,21.827,21.972,54.730,55.696,94.226,1028.6,0.0093873,9.4867e-05,0.58536,0.019767,1742.4,0.00057391,46.643,50.145,105.97,48.939,88.749,493.38,1.2989,1.8487e-05,0.059509
553.31,64.321,41631.,2.4021e-05,22.143,22.298,55.306,55.570,95.334,1011.8,0.010849,9.3487e-05,0.58082,0.018956,1845.8,0.00054177,46.592,50.077,105.51,49.577,91.526,491.85,1.2641,1.8637e-05,0.060945
556.78,67.754,41285.,2.4222e-05,22.463,22.627,55.884,55.451,96.525,994.71,0.012408,9.2123e-05,0.57616,0.018145,1955.0,0.00051150,46.536,50.001,105.05,50.230,94.501,490.21,1.2303,1.8790e-05,0.062457
560.25,71.324,40930.,2.4432e-05,22.785,22.959,56.463,55.339,97.809,977.27,0.014073,9.0774e-05,0.57139,0.017338,2070.5,0.00048297,46.474,49.918,104.58,50.897,97.699,488.45,1.1973,1.8948e-05,0.064052
563.72,75.038,40567.,2.4651e-05,23.111,23.296,57.046,55.235,99.195,959.50,0.015856,8.9438e-05,0.56651,0.016532,2192.7,0.00045606,46.405,49.827,104.11,51.579,101.15,486.56,1.1653,1.9110e-05,0.065741
567.19,78.897,40194.,2.4879e-05,23.440,23.636,57.631,55.141,100.70,941.38,0.017770,8.8113e-05,0.56151,0.015730,2322.1,0.00043065,46.330,49.728,103.63,52.278,104.88,484.53,1.1340,1.9278e-05,0.067534
570.66,82.907,39811.,2.5119e-05,23.772,23.981,58.219,55.055,102.33,922.89,0.019828,8.6796e-05,0.55639,0.014931,2459.2,0.00040664,46.248,49.619,103.15,52.994,108.92,482.37,1.1036,1.9451e-05,0.069446
574.13,87.071,39417.,2.5370e-05,24.109,24.330,58.810,54.981,104.12,904.04,0.022047,8.5486e-05,0.55115,0.014135,2604.7,0.00038392,46.158,49.501,102.65,53.728,113.34,480.06,1.0738,1.9631e-05,0.071492
577.60,91.394,39012.,2.5633e-05,24.450,24.684,59.406,54.918,106.07,884.79,0.024445,8.4180e-05,0.54579,0.013344,2759.3,0.00036241,46.061,49.373,102.15,54.483,118.16,477.60,1.0446,1.9818e-05,0.073692
581.07,95.881,38595.,2.5910e-05,24.795,25.043,60.006,54.867,108.22,865.12,0.027045,8.2876e-05,0.54029,0.012558,2923.8,0.00034202,45.954,49.234,101.64,55.258,123.47,474.98,1.0161,2.0014e-05,0.076068
584.54,100.54,38164.,2.6203e-05,25.145,25.408,60.612,54.831,110.60,845.03,0.029872,8.1571e-05,0.53465,0.011776,3099.1,0.00032268,45.839,49.083,101.11,56.056,129.34,472.18,0.98809,2.0218e-05,0.078647
588.01,105.36,37719.,2.6512e-05,25.500,25.780,61.223,54.811,113.25,824.49,0.032958,8.0262e-05,0.52887,0.011001,3286.3,0.00030430,45.713,48.919,100.58,56.878,135.86,469.20,0.96058,2.0433e-05,0.081462
591.48,110.37,37257.,2.6840e-05,25.862,26.158,61.842,54.810,116.22,803.46,0.036336,7.8947e-05,0.52293,0.010232,3486.5,0.00028682,45.577,48.742,100.03,57.727,143.16,466.03,0.93349,2.0659e-05,0.084555
594.95,115.56,36779.,2.7190e-05,26.229,26.543,62.468,54.829,119.56,781.92,0.040051,7.7621e-05,0.51684,0.0094701,3701.3,0.00027018,45.428,48.550,99.458,58.604,151.38,462.65,0.90676,2.0899e-05,0.087974
598.42,120.94,36281.,2.7562e-05,26.604,26.937,63.104,54.873,123.36,759.82,0.044156,7.6283e-05,0.51058,0.0087161,3932.3,0.00025430,45.267,48.342,98.873,59.514,160.71,459.05,0.88033,2.1154e-05,0.091781
601.89,126.51,35762.,2.7962e-05,26.986,27.340,63.749,54.945,127.72,737.12,0.048716,7.4926e-05,0.50415,0.0079708,4181.5,0.00023915,45.091,48.116,98.267,60.458,171.41,455.20,0.85412,2.1427e-05,0.096054
605.36,132.28,35220.,2.8393e-05,27.378,27.753,64.407,55.050,132.78,713.75,0.053813,7.3546e-05,0.49752,0.0072353,4451.3,0.00022465,44.899,47.870,97.638,61.442,183.81,451.08,0.82806,2.1721e-05,0.10089
608.83,138.26,34650.,2.8860e-05,27.779,28.178,65.079,55.197,138.74,689.60,0.059555,7.2137e-05,0.49071,0.0065107,4744.8,0.00021076,44.688,47.602,96.983,62.472,198.35,446.67,0.80206,2.2040e-05,0.10642
612.30,144.46,34050.,2.9369e-05,28.192,28.616,65.767,55.395,145.89,664.56,0.066084,7.0692e-05,0.48368,0.0057980,5065.6,0.00019741,44.458,47.309,96.296,63.554,215.67,441.93,0.77601,2.2387e-05,0.11280
615.77,150.87,33413.,2.9929e-05,28.618,29.070,66.474,55.659,154.66,638.43,0.073594,6.9200e-05,0.47646,0.0050989,5418.5,0.00018455,44.203,46.988,95.572,64.698,236.66,436.82,0.74981,2.2769e-05,0.12026
619.24,157.52,32732.,3.0551e-05,29.061,29.542,67.206,56.009,165.70,610.96,0.082353,6.7647e-05,0.46903,0.0044151,5809.5,0.00017213,43.921,46.632,94.805,65.918,262.68,431.27,0.72329,2.3195e-05,0.12911
622.71,164.40,31999.,3.1251e-05,29.523,30.037,67.969,56.479,180.10,581.81,0.092739,6.6016e-05,0.46144,0.0037486,6246.8,0.00016008,43.606,46.238,93.986,67.233,295.84,425.20,0.69629,2.3674e-05,0.13976
626.18,171.54,31197.,3.2054e-05,30.010,30.560,68.771,57.124,199.66,550.56,0.10529,6.4280e-05,0.45377,0.0031019,6741.8,0.00014833,43.251,45.795,93.101,68.674,339.69,418.51,0.66854,2.4222e-05,0.15287
629.65,178.93,30306.,3.2997e-05,30.530,31.121,69.625,58.039,227.60,516.76,0.12075,6.2401e-05,0.44621,0.0024783,7311.3,0.00013678,42.845,45.292,92.133,70.289,400.67,411.02,0.63968,2.4862e-05,0.16944
633.12,186.59,29295.,3.4135e-05,31.094,31.731,70.552,59.386,269.85,480.07,0.14011,6.0325e-05,0.43922,0.0018822,7981.2,0.00012529,42.372,44.710,91.051,72.165,491.84,402.45,0.60916,2.5630e-05,0.19122
636.59,194.54,28118.,3.5564e-05,31.720,32.411,71.579,61.437,338.72,440.76,0.16458,5.7980e-05,0.43377,0.0013197,8797.4,0.00011367,41.804,44.015,89.807,74.476,644.38,392.28,0.57594,2.6592e-05,0.22167
640.06,202.80,26701.,3.7451e-05,32.435,33.195,72.759,64.588,470.75,399.94,0.19605,5.5256e-05,0.43257,0.00080029,9854.4,0.00010148,41.080,43.138,88.294,77.643,955.48,379.38,0.53782,2.7887e-05,0.26925
643.53,211.40,24805.,4.0315e-05,33.338,34.190,74.258,70.004,906.74,353.96,0.24270,5.1824e-05,0.44963,0.00034199,11420.,8.7566e-05,40.037,41.888,86.220,83.089,1939.0,360.12,0.48874,2.9960e-05,0.36512
647.00,220.38,19835.,5.0415e-05,35.450,36.561,77.868,112.32,70353.,251.19,0.35854,4.6420e-05,1.2132,3.6615e-06,15904.,6.2879e-05,37.321,38.707,81.185,113.03,96095.,285.32,0.39254,3.9251e-05,1.5251
